Mês,Horas_Totais,Km_Totais,Receita_Bruta,Comissao_Uber,Custo_Combustivel,Custo_Manutencao,Custo_Alimentacao,Custo_Seguro,Custos_Totais,Lucro_Bruto,IR_Adicional,Lucro_Liquido,Meta_Atingida
Janeiro,129.9,1299,4676.40,1169.10,974.25,194.85,541.25,390.00,2100.35,1406.95,0.00,1406.95,NÃO
Fevereiro,129.9,1299,4676.40,1169.10,974.25,194.85,541.25,390.00,2100.35,1406.95,0.00,1406.95,NÃO
Março,129.9,1299,4676.40,1169.10,974.25,194.85,541.25,390.00,2100.35,1406.95,0.00,1406.95,NÃO
Abril,129.9,1299,4676.40,1169.10,974.25,194.85,541.25,390.00,2100.35,1406.95,0.00,1406.95,NÃO
Maio,129.9,1299,4676.40,1169.10,974.25,194.85,541.25,390.00,2100.35,1406.95,0.00,1406.95,NÃO
Junho,129.9,1299,4676.40,1169.10,974.25,194.85,541.25,390.00,2100.35,1406.95,0.00,1406.95,NÃO
Julho,129.9,1299,4676.40,1169.10,974.25,194.85,541.25,390.00,2100.35,1406.95,0.00,1406.95,NÃO
Agosto,129.9,1299,4676.40,1169.10,974.25,194.85,541.25,390.00,2100.35,1406.95,0.00,1406.95,NÃO
Setembro,129.9,1299,4676.40,1169.10,974.25,194.85,541.25,390.00,2100.35,1406.95,0.00,1406.95,NÃO
Outubro,129.9,1299,4676.40,1169.10,974.25,194.85,541.25,390.00,2100.35,1406.95,0.00,1406.95,NÃO
Novembro,129.9,1299,4676.40,1169.10,974.25,194.85,541.25,390.00,2100.35,1406.95,0.00,1406.95,NÃO
Dezembro,129.9,1299,4676.40,1169.10,974.25,194.85,541.25,390.00,2100.35,1406.95,0.00,1406.95,NÃO
